Matrix Size,GFLOPS,Check
100,3.384095e+00,-9.425822e+15
200,3.553187e+00,-2.268807e+16
300,3.263234e+00,-3.466452e+16
400,2.992052e+00,-2.834136e+16
500,3.470921e+00,-5.123278e+16
600,3.578796e+00,-1.477922e+16
700,3.389161e+00,-7.087311e+16
800,3.401157e+00,-1.013360e+17
900,3.206735e+00,-6.538124e+16
1000,3.101525e+00,-1.464151e+17
1100,2.852740e+00,-1.448164e+17
1200,2.980772e+00,-1.561156e+17
1300,2.917738e+00,-1.688694e+17
1400,2.911695e+00,-2.015822e+17
1500,2.892808e+00,-5.649323e+16
1600,2.842399e+00,-1.351288e+17
1700,2.853754e+00,-7.959103e+16
1800,2.739909e+00,-2.244352e+17
1900,2.854265e+00,-2.197374e+17
2000,2.855110e+00,-2.440045e+17
2100,2.832404e+00,-1.712024e+17
2200,2.159576e+00,-3.195377e+17
2300,2.826490e+00,-1.692846e+17
2400,2.830103e+00,-3.215055e+17
2500,2.822630e+00,-3.380465e+17
