Matrix Size,GFLOPS,Check
100,6.410256e+00,-9.425822e+15
200,7.774538e+00,-2.268807e+16
300,5.865103e+00,-3.466452e+16
400,6.306040e+00,-2.834136e+16
500,6.306443e+00,-5.123278e+16
600,6.877776e+00,-1.477922e+16
700,7.532336e+00,-7.087311e+16
800,7.072947e+00,-1.013360e+17
900,6.217537e+00,-6.538124e+16
1000,5.942194e+00,-1.464151e+17
1100,5.459740e+00,-1.448164e+17
1200,5.287800e+00,-1.561156e+17
1300,4.896864e+00,-1.688694e+17
1400,4.784948e+00,-2.015822e+17
1500,4.665572e+00,-5.649323e+16
1600,4.602684e+00,-1.351288e+17
1700,4.509236e+00,-7.959103e+16
1800,4.497907e+00,-2.244352e+17
1900,4.403099e+00,-2.197374e+17
2000,4.356825e+00,-2.440045e+17
2100,4.327296e+00,-1.712024e+17
2200,4.333090e+00,-3.195377e+17
2300,4.268723e+00,-1.692846e+17
2400,4.246870e+00,-3.215056e+17
2500,4.236260e+00,-3.380465e+17
