Matrix Size,GFLOPS,Check
100,3.853565e+00,-9.425822e+15
200,4.433361e+00,-2.268807e+16
300,3.654080e+00,-3.466452e+16
400,4.506884e+00,-2.834136e+16
500,4.680333e+00,-5.123278e+16
600,4.576077e+00,-1.477922e+16
700,4.613005e+00,-7.087311e+16
800,4.530873e+00,-1.013360e+17
900,4.366734e+00,-6.538124e+16
1000,4.196779e+00,-1.464151e+17
1100,4.011090e+00,-1.448164e+17
1200,3.921756e+00,-1.561156e+17
1300,3.776530e+00,-1.688694e+17
1400,3.760068e+00,-2.015822e+17
1500,3.723865e+00,-5.649323e+16
1600,3.670039e+00,-1.351288e+17
1700,3.645335e+00,-7.959103e+16
1800,3.697125e+00,-2.244352e+17
1900,3.657531e+00,-2.197374e+17
2000,3.649616e+00,-2.440045e+17
2100,3.656197e+00,-1.712024e+17
2200,3.643004e+00,-3.195377e+17
2300,3.627176e+00,-1.692846e+17
2400,3.571622e+00,-3.215056e+17
2500,3.620769e+00,-3.380465e+17
