Matrix Size,GFLOPS,Check
100,1.484781e+00,-9.425822e+15
200,1.715450e+00,-2.268807e+16
300,1.731768e+00,-3.466452e+16
400,1.694467e+00,-2.834136e+16
500,1.748350e+00,-5.123278e+16
600,1.769064e+00,-1.477922e+16
700,1.724810e+00,-7.087311e+16
800,1.643348e+00,-1.013360e+17
900,1.584988e+00,-6.538124e+16
1000,1.548299e+00,-1.464151e+17
1100,1.502541e+00,-1.448164e+17
1200,1.470860e+00,-1.561156e+17
1300,1.447994e+00,-1.688694e+17
1400,1.445332e+00,-2.015822e+17
1500,1.387519e+00,-5.649323e+16
1600,1.422636e+00,-1.351288e+17
1700,1.368682e+00,-7.959103e+16
1800,1.424471e+00,-2.244352e+17
1900,1.402211e+00,-2.197374e+17
2000,1.383593e+00,-2.440045e+17
2100,1.400208e+00,-1.712024e+17
2200,1.392059e+00,-3.195377e+17
2300,1.391311e+00,-1.692846e+17
2400,1.384301e+00,-3.215055e+17
2500,1.371465e+00,-3.380465e+17
