Matrix Size,GFLOPS,Check
100,3.703704e+00,-9.425822e+15
200,3.698567e+00,-2.268807e+16
300,3.678725e+00,-3.466452e+16
400,3.332552e+00,-2.834136e+16
500,3.432039e+00,-5.123278e+16
600,3.652319e+00,-1.477922e+16
700,3.708870e+00,-7.087311e+16
800,3.458221e+00,-1.013360e+17
900,3.317972e+00,-6.538124e+16
1000,3.257133e+00,-1.464151e+17
1100,3.123127e+00,-1.448164e+17
1200,3.090195e+00,-1.561156e+17
1300,3.034950e+00,-1.688694e+17
1400,2.984469e+00,-2.015822e+17
1500,2.929867e+00,-5.649323e+16
1600,2.978076e+00,-1.351288e+17
1700,2.893207e+00,-7.959103e+16
1800,2.945879e+00,-2.244352e+17
1900,2.925103e+00,-2.197374e+17
2000,2.916565e+00,-2.440045e+17
2100,2.924456e+00,-1.712024e+17
2200,2.872264e+00,-3.195377e+17
2300,2.880202e+00,-1.692846e+17
2400,2.879672e+00,-3.215055e+17
2500,2.890439e+00,-3.380465e+17
