Matrix Size,GFLOPS,Check
100,3.658000e+00,-9.425800e+15
200,3.574490e+00,-2.268800e+16
300,3.559200e+00,-3.466450e+16
400,3.369290e+00,-2.834130e+16
500,3.485920e+00,-5.123270e+16
600,3.327120e+00,-1.477920e+16
700,3.144260e+00,-7.087300e+16
800,3.552950e+00,-1.013350e+17
900,3.671780e+00,-6.538120e+16
1000,3.371770e+00,-1.464150e+17
1100,3.826170e+00,-1.448160e+17
1200,3.090190e+00,-1.561150e+17
1300,3.543940e+00,-1.688690e+17
1400,2.984460e+00,-2.015820e+17
1500,2.929860e+00,-5.649320e+16
1600,2.978070e+00,-1.351280e+17
1700,2.893200e+00,-7.959100e+16
1800,2.945870e+00,-2.244350e+17
1900,2.925100e+00,-2.197370e+17
2000,2.916560e+00,-2.440040e+17
2100,2.924450e+00,-1.712020e+17
2200,2.872260e+00,-3.195370e+17
2300,2.880200e+00,-1.692840e+17
2400,2.879670e+00,-3.215050e+17
2500,2.890430e+00,-3.380460e+17
