Matrix dimensions: m = n = k, Time (s), Total Cycles, Total Instructions, L1 Cache Misses, L2 Cache Hits, Checksum
1000,5.027070e-01,1353182894,2666175496,43509528,547,0
1500,1.561089e+00,4727214974,8998887797,145523880,239,0
2000,4.376443e+00,13206895007,21331352060,351486663,1132,0
2500,7.838256e+00,24066641235,41663566691,907422839,5496,0
3000,1.349857e+01,41307197520,71995533559,1857130311,1253,0
