Matrix dimensions: m = n = k, Time (s), Total Cycles, Total Instructions, L1 Cache Misses, L2 Cache Hits, Checksum
1000,8.795710e-01,2580039534,9967427317,43226054,14637,-8.732850e+14
1500,2.811200e+00,8633043701,33629805819,145470765,13530,-4.605781e+16
2000,6.774092e+00,20819762338,79703044774,347503392,71003,2.004557e+16
2500,1.409230e+01,43124716168,155655752110,900704718,54763,-7.196756e+14
3000,2.381711e+01,73034432214,268956861003,1858613668,60617,-7.820726e+14
