Matrix dimensions: m = n = k, Time (s), Total Cycles, Total Instructions, L1 Cache Misses, L2 Cache Hits, Checksum
1000,1.383960e-01,332425084,772055076,43049346,206,-8.732850e+14
1500,4.697530e-01,1193249839,2534220220,144716609,265,-4.605781e+16
2000,1.077488e+00,2753960438,5922587489,347844083,322,2.004557e+16
2500,3.133263e+00,8030450526,11467076500,897055073,271,-7.196699e+14
3000,6.038763e+00,15534320285,19699604019,1853813966,1285,-7.820710e+14
