Matrix dimensions: m = n = k, Time (s), Total Cycles, Total Instructions, L1 Cache Misses, L2 Cache Hits, Checksum
1000,2.200934e+00,6707806431,20641187197,43764707,12102,140720484620760
1500,7.523584e+00,22854308061,69692658955,150892587,11793,140730428479016
2000,1.747408e+01,53434980464,165231385141,362422976,29037,140729413598712
2500,3.386495e+01,103687575123,322757367971,910009058,24474,140732908394552
3000,5.853167e+01,179640613809,557770609229,1860938724,49941,140737167262504
