Matrix dimensions: m = n = k, Time (s), Total Cycles, Total Instructions, L1 Cache Misses, L2 Cache Hits, Checksum
1000,2.224743e+00,6663918672,20641187170,43808301,5331,-873285032152802.500000
1500,7.567145e+00,23092692052,69692658932,152004154,10089,-46057812482890496.000000
2000,1.738251e+01,53260155629,165231385001,360039387,18990,20045566062568936.000000
2500,3.372854e+01,103590545756,322757367733,907864006,51508,-719675577002936.750000
3000,5.858736e+01,179827687433,557770609252,1862953605,100472,-782072563097130.875000
